HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2021,NOC21,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,PID,HHSIZE,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
95822,958222,9582222,958222202,2,7,1,1,0,13,99,99999999,27000,4,8,2,3,3,4,0,4,1,4,1,9,9,99999999,59,700000,2,0,9,e3194ff8,4,109894,7407,4_FailSafe,1900,5_Random
120920,1209201,12092011,1209201103,1,1,1,3,1,13,99,99999999,1000,3,5,3,1,4,8,0,1,2,5,2,9,9,99999999,35,990000,1,0,9,8df62871,4,109894,7407,4_FailSafe,1900,5_Random
77920,779201,7792011,779201102,2,3,2,1,0,1,5,99000,100000,3,11,1,2,2,9,0,4,1,1,2,1,4,31000,35,1506886,2,5,2,997b4715,3,109894,3098,4_FailSafe,4153,4_FailSafe
82176,821761,8217611,821761105,2,1,1,1,8,88,88,4000,15000,3,5,1,1,4,1,0,8,8,1,2,1,6,99999999,46,130000,1,2,2,761211bf,5,110088,12979,5_Random,11595,3_Constraints
134494,1344941,13449411,1344941102,2,1,2,3,0,11,7,60000,59000,3,9,1,2,1,2,0,4,1,1,2,1,5,9000,35,300000,1,5,2,d15ef519,2,110088,1495,4_FailSafe,7913,4_FailSafe
96216,962161,9621611,962161101,1,4,2,1,0,4,6,110000,100000,1,4,2,2,2,7,1,1,2,1,1,3,1,23000,35,910000,2,1,9,be667d70,3,110175,11671,3_Constraints,4153,4_FailSafe
84449,844491,8444911,844491102,2,3,2,3,1,8,3,70000,76000,3,8,1,1,2,4,0,2,1,1,2,1,6,21000,24,360000,2,5,2,27f24047,4,110175,7407,4_FailSafe,1900,5_Random
111197,1111971,11119711,1111971102,1,5,2,1,0,8,99,99999999,64000,3,6,1,1,1,5,0,4,1,4,2,9,9,8000,35,800000,2,0,9,44d9e109,2,110175,5056,3_Constraints,7913,4_FailSafe
96616,966161,9661611,966161101,2,4,2,1,0,8,10,140000,140000,3,8,1,3,3,2,0,3,1,1,1,1,4,31000,35,650000,2,5,2,cd03d317,3,110449,11671,3_Constraints,4153,4_FailSafe
96736,967361,9673611,967361101,2,7,2,1,0,13,9,99999999,20000,4,11,1,2,1,4,0,4,1,1,1,3,4,2000,35,460000,1,5,7,a1150c3c,2,110533,6320,3_Constraints,7913,4_FailSafe
97556,975561,9755611,975561101,2,3,2,1,0,10,4,61000,60000,3,7,3,1,2,3,0,4,1,1,1,1,5,9000,59,99999999,1,4,2,0935b057,4,111089,7407,4_FailSafe,1900,5_Random
98346,983461,9834611,983461101,1,5,1,3,0,4,2,49000,50000,2,4,1,3,3,11,0,1,3,1,1,1,6,8000,24,99999999,1,4,6,38bf1e58,2,111621,7358,3_Constraints,7913,3_Constraints
80883,808831,8088312,808831203,1,2,1,1,0,5,2,94000,94000,3,5,2,1,5,5,0,2,1,1,2,1,2,17000,35,99999999,1,5,2,2cc16e4c,3,111621,3098,4_FailSafe,4153,4_FailSafe
98397,983971,9839711,983971101,2,5,1,3,0,13,99,99999999,34000,2,5,1,2,1,8,0,4,1,4,1,9,9,9000,35,210000,1,0,9,435e80f8,2,111658,7358,3_Constraints,7913,3_Constraints
126606,1266061,12660611,1266061103,1,2,2,3,8,88,88,65000,68000,3,5,2,1,5,9,1,1,2,1,2,1,1,14000,24,210000,1,5,9,9ef81c8c,4,111658,7407,4_FailSafe,1900,5_Random
98750,987501,9875011,987501101,2,3,2,3,0,4,7,110000,110000,3,7,1,2,2,10,0,4,1,1,1,1,1,21000,24,400000,1,7,9,463a55be,5,111888,12979,5_Random,11595,4_FailSafe
125718,1257181,12571811,1257181102,2,4,1,1,0,4,5,49000,60000,3,11,1,2,2,7,0,4,1,1,2,1,1,2000,35,480000,1,4,9,67b6e237,4,111888,12113,3_Constraints,1900,5_Random
69292,692921,6929211,692921104,1,1,2,3,8,13,99,99999999,99999999,4,8,2,1,4,4,0,3,1,5,2,9,9,99999999,24,1227409,3,0,9,93f59f79,5,111888,12979,5_Random,11595,4_FailSafe
140668,1406681,14066811,1406681102,1,4,2,1,0,4,5,120000,110000,4,9,1,2,2,10,0,2,1,1,2,1,6,24000,35,1300000,1,9,2,5b032dbc,4,111888,4235,3_Constraints,1900,5_Random
146357,1463571,14635711,1463571103,2,1,1,3,0,10,88,27000,35000,5,10,1,1,4,5,0,4,1,1,2,2,4,4000,35,710000,1,4,2,3d45330a,5,111888,12979,5_Random,11595,3_Constraints
91912,919121,9191211,919121102,2,1,1,1,0,88,3,41000,43000,2,4,2,1,1,11,1,1,3,1,2,1,1,99999999,59,99999999,1,5,9,0b6c0333,2,111984,1495,4_FailSafe,7913,4_FailSafe
81263,812631,8126311,812631102,2,3,1,1,0,13,99,99999999,12000,3,8,3,2,2,2,0,4,1,3,2,9,9,99999999,35,99999999,3,0,9,76c4fce4,5,111984,12979,5_Random,11595,4_FailSafe
99067,990671,9906711,990671101,1,6,1,1,0,7,99,99999999,39000,2,5,2,3,3,10,1,1,2,4,1,9,9,1000,59,99999999,1,0,9,901ff573,2,112099,4656,3_Constraints,7913,4_FailSafe
89001,890011,8900111,890011102,2,1,2,3,1,13,7,10000,11000,3,5,2,1,5,11,1,1,2,1,2,1,4,99999999,35,450000,1,2,6,c143a72b,3,112099,3098,4_FailSafe,4153,4_FailSafe
