HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2011,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
128213,1282131,12821311,128213112,1,1,1,1,1,13,99,0,1,2,5,6,2,5,1,0,3,1,5,2,9,9,0,35,650000,1,0,9,2,2,2,968ed42c,88761,8687,3_Constraints,6569,4_FailSafe
15856,158562,1585622,15856225,2,2,1,2,1,88,4,0,1,5,7,1,1,1,6,0,4,1,4,2,1,4,0,24,9999999,1,0,2,5,2,2,d6d47822,88796,7944,3_Constraints,9407,3_Constraints
76894,768941,7689411,76894114,2,1,2,1,2,13,7,4000,2,3,6,1,2,4,6,0,4,1,3,2,1,5,0,35,240000,2,0,7,4,4,4,d1eef12d,88796,4003,2_Core,4677,2_Core
28012,280121,2801211,28012113,1,1,1,1,2,13,7,7000,3,3,7,6,2,5,5,1,4,1,1,2,1,4,0,59,300000,2,1,7,3,3,3,b3646a17,88796,9785,3_Constraints,14951,3_Constraints
74962,749621,7496211,74962111,1,4,2,1,1,5,1,120000,12,4,9,1,1,2,3,0,4,1,1,1,1,6,28000,35,1205546,1,6,2,4,4,4,54144be3,88814,2101,3_Constraints,13624,2_Core
98775,987751,9877511,98775112,2,1,2,2,2,13,1,11000,6,3,9,1,2,4,6,0,4,1,1,2,1,6,2000,24,170000,1,5,2,3,3,3,1b93a4f9,88814,7794,3_Constraints,7601,3_Constraints
75015,750152,7501522,75015222,2,1,1,1,2,13,99,0,1,1,2,6,1,1,10,1,4,1,4,1,9,9,0,59,400000,1,0,9,3,2,2,998e1028,88850,11085,3_Constraints,3199,3_Constraints
121062,1210621,12106211,121062112,2,4,1,1,2,5,5,61000,10,3,8,1,1,2,7,0,4,1,1,2,1,4,10000,59,500000,1,5,2,3,3,3,bfed9ac3,88850,9205,3_Constraints,3325,3_Constraints
75018,750181,7501811,75018111,2,5,2,1,1,13,99,0,3,2,5,6,1,1,4,0,4,1,4,1,9,9,0,35,9999999,1,0,9,2,2,2,243aab82,88853,697,2_Core,8628,2_Core
75021,750211,7502111,75021111,2,4,1,1,1,13,7,37000,7,3,6,1,1,2,4,0,4,1,1,1,1,5,4000,59,300000,2,5,2,3,3,3,a2988f2a,88856,9475,3_Constraints,3325,3_Constraints
42212,422121,4221211,42212113,2,2,1,3,1,11,7,25000,6,5,10,1,2,4,1,0,4,1,1,2,1,5,4000,35,330000,1,5,2,4,4,4,fd6d3e64,88856,6715,3_Constraints,1587,3_Constraints
20347,203471,2034711,20347112,1,2,1,2,1,7,2,22000,6,3,8,1,1,1,9,0,4,1,1,2,1,6,4000,24,350000,1,5,2,2,2,2,18c85c4f,88856,4579,3_Constraints,14241,3_Constraints
75071,750711,7507111,75071111,2,4,1,1,1,5,10,32000,7,2,6,4,3,3,4,0,4,1,1,1,1,4,2000,35,9999999,1,5,2,2,2,2,c6d8d30e,88890,10684,3_Constraints,3350,3_Constraints
84089,840891,8408911,84089112,2,4,1,3,1,8,2,50000,10,2,6,1,1,1,7,0,3,1,2,2,1,4,10000,59,310000,1,0,2,2,2,2,34f90a92,88890,5453,3_Constraints,4282,3_Constraints
75089,750891,7508911,75089111,2,1,1,1,1,5,2,31000,7,2,3,7,1,1,9,0,4,1,1,1,1,6,4000,46,9999999,2,5,2,2,2,2,e178a363,88903,12803,3_Constraints,5696,4_FailSafe
75114,751141,7511411,75114111,2,5,2,1,1,13,99,0,2,4,10,1,1,1,1,0,4,1,4,1,9,9,0,10,180000,1,0,9,2,2,2,ecef818e,88920,2550,2_Core,1491,3_Constraints
69946,699461,6994611,69946114,1,1,1,1,2,13,7,16000,5,5,10,4,2,4,6,0,2,1,1,2,1,6,0,35,700000,1,2,2,4,4,4,8284eb81,88920,14100,3_Constraints,4354,3_Constraints
