HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
16414,164141,1641411,164141101,1,4,2,1,1,5,7,4000,5,2,2,2,2,1,2,9,1,3,1,1,1,4,1000,35,0,1,1,2,3,3,3,5b7d903e,46995,11663.0,3_Constraints,12929.0,3_Constraints
7779,77791,777911,77791101,2,3,2,3,1,11,8,20000,8,2,3,1,1,1,1,0,4,1,2,1,1,2,3000,10,30000,1,0,2,4,4,4,2b0e04b7,41775,2340.0,3_Constraints,2116.0,3_Constraints
113425,1134251,11342511,1134251102,1,3,1,1,2,8,99,0,2,2,2,2,2,1,3,9,1,3,4,2,9,9,0,48,0,1,0,9,2,2,2,2bcead68,54860,5106.0,3_Constraints,1095.0,3_Constraints
57397,573971,5739711,573971102,2,6,1,1,1,10,99,0,4,2,4,2,2,1,3,1,4,1,5,2,9,9,1000,10,130000,3,0,9,2,2,2,01e486d6,87141,5079.0,3_Constraints,10170.0,3_Constraints
108376,1083761,10837611,1083761101,2,1,2,1,1,13,9,50000,9,2,2,3,1,1,2,0,4,1,1,1,1,4,9000,46,30000,2,7,2,2,2,2,dad8e37c,101818,5333.0,3_Constraints,763.0,3_Constraints
42298,422981,4229811,422981103,2,1,2,3,1,13,3,30000,7,3,3,1,1,3,2,0,4,1,1,2,1,6,6000,24,130000,1,4,2,3,3,3,65f65a99,40456,13882.0,3_Constraints,14963.0,3_Constraints
97523,975231,9752311,975231103,2,1,1,1,2,10,7,0,3,2,4,1,1,3,3,0,4,1,3,2,1,4,0,10,60000,2,0,5,4,4,4,69fbc16f,51395,14565.0,3_Constraints,4030.0,3_Constraints
98815,988151,9881511,988151101,1,4,2,1,1,5,8,0,2,1,1,2,2,1,1,9,1,3,1,1,2,1,0,35,0,1,5,9,2,2,2,cdc59b4c,96096,1325.0,2_Core,10116.0,2_Core
55889,558891,5588911,558891101,2,2,2,1,1,13,99,0,2,3,3,1,1,7,2,9,4,1,4,3,9,9,0,59,0,3,0,9,6,7,1,4d83034d,110347,13453.0,4_FailSafe,10316.0,2_Core
115023,1150231,11502311,1150231101,2,2,1,3,1,10,7,3000,3,2,2,2,3,2,4,9,4,1,1,1,1,4,0,35,0,1,5,2,1,1,1,aa23a5b0,34480,9594.0,3_Constraints,5910.0,2_Core
18430,184301,1843011,184301101,2,5,2,2,1,13,99,-2000,4,1,1,1,2,1,3,0,4,1,4,1,9,9,1,24,100000,3,0,9,2,2,2,ad22dfcc,48172,10820.0,3_Constraints,1742.0,3_Constraints
55366,553662,5536622,553662202,2,1,1,3,2,13,2,3000,2,2,2,3,1,6,3,9,4,1,1,3,1,4,0,35,0,2,4,2,3,1,1,91e4eea2,114026,12233.0,3_Constraints,14764.0,3_Constraints
53125,531251,5312511,531251102,1,5,1,2,1,13,99,0,6,2,2,2,2,1,3,1,4,1,4,2,9,9,1,24,190000,1,0,9,2,2,2,9130c74c,95986,10746.0,3_Constraints,7881.0,3_Constraints
112711,1127111,11271111,1127111102,2,6,1,1,1,13,7,5000,6,2,3,1,2,1,3,0,4,1,1,2,1,4,3000,46,200000,1,2,2,2,2,2,11895078,68871,5079.0,3_Constraints,10419.0,3_Constraints
70890,708901,7089011,708901101,2,4,2,1,1,8,1,468482,12,3,4,1,2,1,3,0,2,1,1,1,3,4,219412,35,590894,1,10,2,3,3,3,2e706e69,79271,11663.0,3_Constraints,17240.0,3_Constraints
112707,1127071,11270711,1127071101,1,3,2,1,1,11,8,61000,10,2,2,1,2,1,3,0,4,1,1,1,1,6,12000,35,240000,1,5,2,2,2,2,b8320014,104410,1686.0,3_Constraints,91.0,3_Constraints
69413,694131,6941311,694131102,1,2,1,1,1,4,5,7000,3,1,1,2,2,1,4,9,1,3,1,2,1,4,0,35,0,2,4,2,2,2,2,cd127913,53929,8056.0,3_Constraints,7905.0,3_Constraints
61859,618591,6185911,618591101,1,3,1,3,1,13,2,38000,7,2,4,1,2,1,3,0,4,1,1,1,1,6,3000,24,270000,1,3,6,2,2,2,7f3bb687,73932,5106.0,2_Core,2588.0,2_Core
26901,269011,2690111,269011101,2,5,2,2,1,13,7,7000,3,2,2,2,3,1,2,9,4,1,2,1,1,5,0,24,0,1,0,2,2,2,2,ae7c01f1,53232,770.0,3_Constraints,12014.0,3_Constraints
102645,1026451,10264511,1026451101,1,3,2,2,1,4,99,0,2,1,1,2,1,5,2,9,1,2,3,3,9,9,0,24,0,1,0,9,1,1,1,18b449da,30805,8944.0,3_Constraints,8974.0,3_Constraints
78990,789901,7899011,789901103,2,1,1,3,2,13,7,17000,5,2,3,1,1,3,1,0,4,1,1,2,1,4,1000,46,170000,3,4,2,4,4,4,78ca7048,44460,14565.0,3_Constraints,846.0,3_Constraints
66860,668601,6686011,668601102,2,3,1,3,1,13,10,22000,6,2,2,1,1,1,4,0,4,1,1,2,1,5,4000,10,10000,1,10,2,2,2,2,73e70da8,75817,18151.0,3_Constraints,1539.0,3_Constraints
94947,949471,9494711,949471101,2,1,1,3,1,6,6,22000,6,1,2,2,1,5,1,1,3,1,1,3,1,4,2000,10,150000,2,4,1,1,1,1,65d9cc06,28494,164.0,3_Constraints,13871.0,3_Constraints
32596,325961,3259611,325961101,2,5,1,1,1,1,7,14000,5,3,4,1,3,4,2,0,4,1,1,2,2,4,1,48,310000,1,4,2,2,2,2,767025fd,75984,4587.0,3_Constraints,6977.0,3_Constraints
75830,758301,7583011,758301102,1,2,1,1,1,5,7,6000,3,1,1,2,2,1,3,9,1,3,1,2,1,4,0,35,0,3,5,2,2,2,2,d279806c,96147,3674.0,3_Constraints,7051.0,3_Constraints
