[SECTION] Annual Energy Demand Metrics (Aggregated)
Category,Scenario,Mean(kWh/m2),StdDev,CI_Lower,CI_Upper
Heating,2025,71.0452,3.0993,70.2446,71.8458
Heating,2015,73.1951,5.1160,71.8734,74.5167
Heating,2005,75.5132,5.0380,74.2117,76.8147
Heating,Default,67.0528,0.0000,67.0528,67.0528
Cooling,2025,1.6010,0.2164,1.5451,1.6569
Cooling,2015,1.5170,0.3048,1.4382,1.5957
Cooling,2005,1.4059,0.3101,1.3258,1.4860
Cooling,Default,1.8458,0.0000,1.8458,1.8458
Lighting,2025,3.4829,0.7261,3.2953,3.6705
Lighting,2015,3.0035,0.9088,2.7688,3.2383
Lighting,2005,2.6829,0.9974,2.4253,2.9406
Lighting,Default,4.3790,0.0000,4.3790,4.3790
Equipment,2025,44.9614,3.8826,43.9584,45.9644
Equipment,2015,41.2579,5.5126,39.8339,42.6819
Equipment,2005,39.3902,5.9959,37.8413,40.9391
Equipment,Default,48.0281,0.0000,48.0281,48.0281
DHW,2025,9.0738,1.8881,8.5860,9.5615
DHW,2015,7.2504,2.9599,6.4858,8.0151
DHW,2005,6.3179,3.1917,5.4934,7.1424
DHW,Default,10.9195,0.0000,10.9195,10.9195

[SECTION] Statistical Variability (Reference: Default)
Category,Comparison,P-Value,Significant?,Cohens_D
Heating,ANOVA (2005-2015-2025),0.00000,Yes,-
Heating,2025 vs Default,0.00000,Yes,1.2882
Heating,2015 vs Default,0.00000,Yes,1.2006
Heating,2005 vs Default,0.00000,Yes,1.6793
Cooling,ANOVA (2005-2015-2025),0.00090,Yes,-
Cooling,2025 vs Default,0.00000,Yes,-1.1311
Cooling,2015 vs Default,0.00000,Yes,-1.0788
Cooling,2005 vs Default,0.00000,Yes,-1.4183
Lighting,ANOVA (2005-2015-2025),0.00001,Yes,-
Lighting,2025 vs Default,0.00000,Yes,-1.2341
Lighting,2015 vs Default,0.00000,Yes,-1.5135
Lighting,2005 vs Default,0.00000,Yes,-1.7005
Equipment,ANOVA (2005-2015-2025),0.00000,Yes,-
Equipment,2025 vs Default,0.00000,Yes,-0.7899
Equipment,2015 vs Default,0.00000,Yes,-1.2281
Equipment,2005 vs Default,0.00000,Yes,-1.4406
DHW,ANOVA (2005-2015-2025),0.00000,Yes,-
DHW,2025 vs Default,0.00000,Yes,-0.9776
DHW,2015 vs Default,0.00000,Yes,-1.2396
DHW,2005 vs Default,0.00000,Yes,-1.4417

[SECTION] Raw Simulation Data (Per Simulation)
Run_ID,Scenario,Heating,Cooling,Lighting,Equipment,DHW
28,2025,67.7325,1.8546,4.1279,48.0281,10.9195
29,2025,69.4037,1.7316,3.9482,46.5210,9.5148
30,2025,76.8841,1.2169,2.2285,37.5877,5.7539
31,2025,67.9638,1.8541,4.1279,48.0281,10.9195
32,2025,71.0105,1.5395,3.5066,45.6577,9.3311
33,2025,69.7066,1.7745,3.8877,47.4419,10.0928
34,2025,68.5928,1.7844,4.1279,47.9844,10.8244
35,2025,75.0106,1.2361,2.9772,38.4577,5.0472
36,2025,70.5674,1.5885,3.4361,45.8906,10.1530
37,2025,69.0916,1.7665,3.7889,47.2735,10.6838
38,2025,70.1552,1.6862,3.9783,46.2431,9.8993
39,2025,69.2220,1.7729,4.1279,47.8765,10.5359
40,2025,71.0105,1.5395,3.5066,45.6577,9.3311
41,2025,77.6330,1.2077,2.2567,35.8514,5.7536
42,2025,69.5795,1.6618,3.7055,46.5798,9.4792
43,2025,69.4037,1.7316,3.9482,46.5210,9.5148
44,2025,70.1552,1.6862,3.9783,46.2431,9.8993
45,2025,68.6815,1.8117,4.1080,47.9415,10.7462
46,2025,70.2777,1.6057,3.5200,45.9048,10.0842
47,2025,73.4442,1.3849,2.6938,42.6227,7.7273
48,2025,69.7419,1.6882,3.8117,47.1210,8.8074
49,2025,69.5386,1.6705,3.9970,47.0777,9.7816
50,2025,71.4581,1.6514,3.1939,45.5827,9.7629
51,2025,69.2169,1.7422,3.9915,47.2915,10.0781
52,2025,70.0711,1.5589,3.5385,45.6540,9.2022
53,2025,69.7857,1.6409,3.8845,47.0935,9.5670
54,2025,70.5049,1.6026,3.6761,46.5027,9.1619
55,2025,68.6815,1.8117,4.1080,47.9415,10.7462
56,2025,68.6815,1.8117,4.1080,47.9415,10.7462
57,2025,69.8427,1.6313,3.6761,46.5115,9.1819
58,2025,80.3676,1.1074,1.7319,33.5764,3.2921
59,2025,70.0711,1.5589,3.5385,45.6540,9.2022
60,2025,68.5928,1.7844,4.1279,47.9844,10.8244
1,Default,67.0528,1.8458,4.3790,48.0281,10.9195

[SECTION] Hourly Load Profiles (kW)
[SECTION] Hourly Load Profiles (kW)
================================================================================
Season,DayType,Hour,2025_Mean,2015_Mean,2005_Mean,Default_Mean
Note: Profiles are for Total Heating + Cooling Load (kW)
Category,Season,DayType,Hour,2025_Mean,2015_Mean,2005_Mean,Default_Mean
Heating,Winter,Weekday,0,5.1740,5.2118,5.3420,5.0087
Heating,Winter,Weekday,1,5.4068,5.4214,5.5366,5.2601
Heating,Winter,Weekday,2,5.5470,5.5452,5.6521,5.4088
Heating,Winter,Weekday,3,5.6373,5.6274,5.7273,5.5053
Heating,Winter,Weekday,4,5.6705,5.6653,5.7765,5.5503
Heating,Winter,Weekday,5,5.6211,5.6264,5.7586,5.4871
Heating,Winter,Weekday,6,5.5121,5.5237,5.6798,5.3443
Heating,Winter,Weekday,7,5.4156,5.4182,5.5919,5.2301
Heating,Winter,Weekday,8,5.3031,5.3029,5.4503,5.2033
Heating,Winter,Weekday,9,4.7549,4.7342,4.8888,4.6573
Heating,Winter,Weekday,10,4.1900,4.1622,4.3023,4.0627
Heating,Winter,Weekday,11,3.8305,3.8212,3.9533,3.6994
Heating,Winter,Weekday,12,3.5878,3.5879,3.7116,3.4548
Heating,Winter,Weekday,13,3.3225,3.3174,3.4573,3.2078
Heating,Winter,Weekday,14,3.1229,3.1358,3.2629,3.0276
Heating,Winter,Weekday,15,3.1250,3.1263,3.2572,3.0107
Heating,Winter,Weekday,16,3.4327,3.4008,3.5610,3.2289
Heating,Winter,Weekday,17,3.7732,3.7052,3.9445,3.4388
Heating,Winter,Weekday,18,3.8189,3.8365,4.1249,3.4692
Heating,Winter,Weekday,19,3.9806,4.0192,4.3193,3.6569
Heating,Winter,Weekday,20,4.1984,4.2203,4.5202,3.8617
Heating,Winter,Weekday,21,4.3518,4.4183,4.6863,4.0414
Heating,Winter,Weekday,22,4.5653,4.6491,4.8809,4.3262
Heating,Winter,Weekday,23,4.8124,4.8598,5.0595,4.6073
Heating,Winter,Weekend,0,4.9269,5.0765,5.0858,4.7840
Heating,Winter,Weekend,1,5.0617,5.1649,5.1790,4.9293
Heating,Winter,Weekend,2,5.1554,5.2324,5.2478,5.0286
Heating,Winter,Weekend,3,5.2935,5.3515,5.3737,5.1694
