occID,SURVMNTH,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,LFTAG,WKSWRK,NOCS,COW,HRSWRK,CTW_140A,CTW_140B,CTW_140C,CTW_140D,CTW_140E,CTW_140F,CTW_140G,CTW_140H,CTW_140I,EHG_ALL,KOL,TOTINC,WGHT_PER,DDAY,HRSWRK_RAW,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
17483,5,5,2,6,1,24,1,3,,,,,6,6,6,6,6,6,6,6,6,4,2.0,1,1090.1996,3,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17484,9,6,2,1,4,24,2,3,,,,,6,6,6,6,6,6,6,6,6,1,2.0,2,1244.0851,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17485,2,3,1,6,1,48,2,3,10,8,,,6,6,6,6,6,6,6,6,6,2,1.0,2,842.5888,1,99.7,2,SELF,2015,2015,0,1,STANDARD_BS
17486,6,5,1,5,1,35,1,1,52,7,1,1.0,2,2,2,2,2,2,2,1,2,1,1.0,2,783.3337,1,25.0,2,SELF,2015,2015,0,1,STANDARD_BS
17487,5,6,1,1,3,59,1,3,,,,,6,6,6,6,6,6,6,6,6,6,1.0,2,3421.2298,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17488,1,4,2,1,3,48,1,3,,,,,6,6,6,6,6,6,6,6,6,99,1.0,1,1606.3362,2,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17489,10,6,2,1,2,12,1,3,52,5,,8.0,6,6,6,6,6,6,6,6,6,2,1.0,3,368.2895,2,60.0,3,SELF,2015,2015,0,1,STANDARD_BS
17490,10,2,2,2,2,24,1,1,36,2,1,6.0,1,2,2,2,2,2,2,2,2,6,3.0,5,4069.6307,1,50.0,5,SELF,2015,2015,0,1,STANDARD_BS
17491,10,3,1,1,5,48,1,1,52,9,1,8.0,1,2,2,2,2,2,2,2,2,3,3.0,5,341.8213,1,75.0,7,SELF,2015,2015,0,1,STANDARD_BS
17492,1,4,2,1,4,13,1,1,52,95,1,2.0,1,2,2,2,2,2,2,2,2,2,1.0,1,374.9696,2,30.0,1,SELF,2015,2015,0,1,STANDARD_BS
17493,7,7,2,1,2,35,2,3,,,,,6,6,6,6,6,6,6,6,6,2,1.0,1,2834.7846,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17494,11,7,2,1,2,24,1,3,,,,,6,6,6,6,6,6,6,6,6,2,3.0,3,5045.0514,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
17495,1,1,1,6,2,47,2,1,52,3,1,4.0,1,2,2,2,2,2,2,2,2,2,1.0,1,785.513,1,40.0,1,SELF,2015,2015,0,1,STANDARD_BS
17496,4,4,2,3,1,13,1,3,48,5,,1.0,6,6,6,6,6,6,6,6,6,2,1.0,2,209.2901,3,20.0,2,SELF,2015,2015,0,1,STANDARD_BS
17497,12,7,1,5,1,24,1,,,,,,6,6,6,6,6,6,6,6,6,99,,2,829.0151,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17498,4,4,2,5,1,47,2,1,52,1,2,8.0,1,2,2,2,2,2,2,2,2,1,1.0,1,363.1642,1,60.0,1,SELF,2015,2015,0,1,STANDARD_BS
17499,7,6,2,3,1,35,1,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,3,935.4285,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
17500,4,3,1,1,2,59,1,1,10,7,1,8.0,1,2,2,2,2,2,2,2,1,3,1.0,1,1547.051,1,75.0,1,SELF,2015,2015,0,1,STANDARD_BS
17501,4,5,2,1,2,47,1,1,3,2,1,,2,1,2,2,2,2,2,2,2,2,1.0,1,1427.7544,1,99.7,1,SELF,2015,2015,0,1,STANDARD_BS
17502,9,5,2,2,3,24,1,1,52,3,1,4.0,1,1,1,2,2,2,2,2,2,6,2.0,5,3426.8474,1,40.0,7,SELF,2015,2015,0,1,STANDARD_BS
17503,2,3,1,1,4,35,1,3,48,2,,4.0,6,6,6,6,6,6,6,6,6,7,1.0,5,4126.4081,1,40.0,7,SELF,2015,2015,0,1,STANDARD_BS
17504,7,5,1,2,2,48,1,1,52,7,1,1.0,1,2,2,2,2,2,2,2,2,3,1.0,2,3801.044,1,10.0,2,SELF,2015,2015,0,1,STANDARD_BS
17505,2,3,1,1,3,48,1,1,52,2,1,4.0,1,2,2,2,2,2,2,2,2,6,1.0,3,1583.9583,3,40.0,3,SELF,2015,2015,0,1,STANDARD_BS
17506,4,4,2,5,2,47,2,1,52,2,1,5.0,1,2,2,2,2,2,2,2,2,4,1.0,3,1996.6526,1,45.0,3,SELF,2015,2015,0,1,STANDARD_BS
17507,2,6,2,3,1,24,1,1,52,4,2,4.0,2,1,2,2,2,2,2,2,2,6,3.0,3,866.2224,1,41.0,3,SELF,2015,2015,0,1,STANDARD_BS
17508,4,3,1,1,4,59,1,1,52,2,1,3.0,1,2,2,2,2,2,2,2,2,6,1.0,3,573.2104,3,37.5,3,SELF,2015,2015,0,1,STANDARD_BS
17509,1,3,1,1,5,35,1,1,52,7,1,7.0,1,2,2,2,2,2,2,2,2,2,1.0,4,3564.512,1,55.0,4,SELF,2015,2015,0,1,STANDARD_BS
17510,10,6,1,5,1,35,1,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,1,1557.8725,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17511,8,5,2,1,2,35,1,3,36,7,,1.0,6,6,6,6,6,6,6,6,6,6,3.0,2,1583.1975,3,25.0,2,SELF,2015,2015,0,1,STANDARD_BS
17512,9,4,1,2,3,24,1,1,52,1,1,4.0,1,2,2,2,2,2,2,2,2,6,2.0,5,2498.1837,1,40.0,6,SELF,2015,2015,0,1,STANDARD_BS
17513,9,5,1,1,2,59,2,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,1,1076.251,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17514,2,3,2,1,3,35,1,1,6,5,1,2.0,2,2,2,2,2,2,2,1,2,2,3.0,1,1193.6151,3,30.0,1,SELF,2015,2015,0,1,STANDARD_BS
17515,10,2,2,2,3,24,1,3,,,,,6,6,6,6,6,6,6,6,6,3,2.0,1,1439.8572,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17516,7,5,2,1,2,12,2,3,,,,,6,6,6,6,6,6,6,6,6,2,1.0,3,565.9589,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
17517,12,5,1,6,1,35,2,1,52,7,1,2.0,2,2,2,1,2,2,2,2,2,2,1.0,2,1314.0332,1,30.0,2,SELF,2015,2015,0,1,STANDARD_BS
17518,11,4,2,4,3,35,1,1,52,1,1,4.0,1,2,2,2,2,2,2,2,2,6,1.0,2,1269.8272,1,40.0,2,SELF,2015,2015,0,1,STANDARD_BS
17519,8,4,2,2,4,13,1,3,,,,,6,6,6,6,6,6,6,6,6,6,3.0,1,474.7564,2,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17520,10,7,1,1,2,59,1,3,,,,,6,6,6,6,6,6,6,6,6,3,1.0,3,882.5847,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
17521,9,4,1,1,5,48,1,1,52,8,1,7.0,1,2,2,2,2,2,2,2,2,6,1.0,5,3774.9242,1,55.0,7,SELF,2015,2015,0,1,STANDARD_BS
17522,10,7,1,1,2,59,1,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,2,1794.4498,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17523,10,5,2,1,2,35,1,3,,,,,6,6,6,6,6,6,6,6,6,7,1.0,3,2212.8578,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
17524,1,6,1,6,3,35,1,3,,,,,6,6,6,6,6,6,6,6,6,6,3.0,2,4468.4809,3,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17525,2,2,1,6,2,12,1,1,52,7,1,4.0,2,2,2,1,2,2,2,2,2,6,1.0,2,672.4567,1,42.5,2,SELF,2015,2015,0,1,STANDARD_BS
17526,2,3,1,1,4,47,1,1,52,8,1,3.0,1,2,2,2,2,2,2,2,2,3,1.0,4,560.1185,1,37.5,4,SELF,2015,2015,0,1,STANDARD_BS
17527,4,7,2,5,1,35,1,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,2,1102.4277,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17528,1,5,2,5,1,24,2,1,52,7,2,3.0,2,2,2,1,2,2,2,2,2,3,2.0,2,1369.6497,1,35.0,2,SELF,2015,2015,0,1,STANDARD_BS
17529,1,6,2,1,2,24,1,3,,,,,6,6,6,6,6,6,6,6,6,3,2.0,2,1191.3524,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17530,7,3,2,1,3,13,1,1,52,5,1,7.0,6,6,6,6,6,6,6,6,6,7,3.0,5,1049.5874,1,55.0,5,SELF,2015,2015,0,1,STANDARD_BS
17531,4,2,2,1,4,48,1,2,,,,,2,2,2,2,2,2,2,1,2,7,3.0,1,1362.6163,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17532,4,7,1,1,2,24,1,3,,,,,6,6,6,6,6,6,6,6,6,1,2.0,2,1425.3458,3,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
